ID,Country,Province/State,Study Pop Size (N),Positive/negative cases,Mean Age,% Male,% White or European,White or European,% African American,African American,% Asian,Asian,% Hispanic or Latino,Hispanic or Latino,% Multiple ethnicities or other,Multiple ethnicities,Smoking history,Hypertension,Diabetes,Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,Chronic kidney/renal disease,Other,Fever (temperature ≥37·3°C),Respiratory rate > 24 breaths per min,Cough,Shortness of Breath (dyspnoea),Headache,Sputum (/Expectoration),Myalgia (Muscle Pain),Fatigue,Upper air-way congestion,Diarrhoea,Nausea or Vomiting,Loss of Appetite/Anorexia,Sore Throat/Stuffy Nose,Chills,Chest Pain,Loss of smell/taste,Disease Severity Asymptomatic,Mortality,Mortality_bin
197,China,Wuhan,98,Positive only,64,0.66,0,0,0,0,1,98,0,0,0,0,0,0.39,0.12,0.09,0,0.04,0,0,0,0,0.86,0,0.7,0,0,0,0,0.54,0,0.05,0,0,0,0,0,0,0,0.68,1
198,USA,New York,257,Positive,21,0.66,0.12,30.84,0.19,48.83,0.04,10.28,0.62,159.34,0.03,7.71,0.13,0.63,0.36,0.19,0.09,0.07,0.02,0.09,0.14,0,0.71,0,0.66,0.74,0.04,0,0.26,0,0.07,0.12,0,0,0.06,0,0,0,0,0.33,1
199,China,Hubei,237,Positive only,65,0.59,0,0,0,0,0,0,0,0,0,0,0,0.43,0.24,0.07,0,0,0,0,0,0,0.37,0.2,0,0,0,0,0,0,0,0.03,0.04,0.01,0,0,0,0,0,0.14,1
199,China,Hubei,158,Positive only,66,0.56,0,0,0,0,0,0,0,0,0,0,0,0.46,0.25,0.09,0,0,0,0,0,0,0.35,0.23,0,0,0,0,0,0,0,0.03,0.05,0.01,0,0,0,0,0,0.15,1
199,China,Hubei,78,Positive only,64,0.65,0,0,0,0,0,0,0,0,0,0,0,0.38,0.21,0.03,0,0,0,0,0,0,0.4,0.14,0,0,0,0,0,0,0,0.03,0.03,0,0,0,0,0,0,0.13,1
200,USA,New York,151,Positive only,56,0.57,0,0,0,0,0,0,0,0,0,0,0.21,0.5,0.26,0.11,0.07,0.03,0.01,0,0.08,0.17,0.74,0,0.77,0.54,0.14,0.06,0,0,0,0.2,0.09,0,0.11,0.15,0,0,0,0.15,1
200,USA,New York,618,Positive only,63,0.57,0,0,0,0,0,0,0,0,0,0,0.23,0.59,0.38,0.14,0.07,0.08,0.02,0,0.16,0.1,0.73,0,0.73,0.61,0.1,0.09,0,0,0,0.25,0.22,0,0.08,0.19,0,0,0,0.13,1
200,USA,New York,231,Positive only,62,0.68,0,0,0,0,0,0,0,0,0,0,0.24,0.68,0.43,0.13,0.06,0.06,0.02,0,0.12,0.13,0.73,0,0.72,0.74,0.07,0.07,0,0,0,0.21,0.1,0,0.08,0.17,0,0,0,0.31,1
200,USA,New York,1000,Positive only,62,0.6,0,0,0,0,0,0,0,0,0,0,0.23,0.6,0.37,0.13,0.07,0.07,0.02,0,0.14,0.11,0.73,0,0.73,0.63,0.1,0.08,0,0,0,0.23,0.18,0,0.08,0.18,0,0,0,0.17,1
1,China,Wuhan,191,Positive only,56,0.62,0,0,0,0,1,191,0,0,0,0,0.06,0.3,0.19,0.08,0.03,0.02,0,0,0.02,0.12,0.94,0.29,0.79,0,0,0.23,0.15,0.23,0,0.05,0.04,0,0,0,0,0,0,0.28,1
1,China,Wuhan,54,Positive only,69,0.7,0,0,0,0,1,54,0,0,0,0,0.09,0.48,0.31,0.24,0.07,0,0,0,0.04,0.2,0.94,0.63,0.72,0,0,0.26,0.15,0.28,0,0.04,0.06,0,0,0,0,0,0,1,1
1,China,Wuhan,137,Positive only,52,0.59,0,0,0,0,1,137,0,0,0,0,0.04,0.23,0.14,0.01,0.01,0.07,0,0,0,0.08,0.94,0.16,0.82,0,0,0.22,0.15,0.21,0,0.05,0.03,0,0,0,0,0,0,0,0
2,China,Wuhan,199,Positive only,58,0.6,0,0,0,0,1,199,0,0,0,0,0,0,0.12,0,0,0.03,0,0.07,0,0,0.92,0.19,0,0,0,0,0,0,0,0.02,0.04,0.01,0,0,0,0,0,0.16,1
2,China,Wuhan,99,Positive only,59,0.62,0,0,0,0,1,99,0,0,0,0,0,0,0.1,0,0,0.05,0,0.05,0,0,0.9,0.22,0,0,0,0,0,0,0,0.04,0.1,0.02,0,0,0,0,0,0.15,1
2,China,Wuhan,100,Positive only,58,0.59,0,0,0,0,1,100,0,0,0,0,0,0,0.13,0,0,0.01,0,0.08,0,0,0.93,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,1
3,China,Wuhan,81,Positive only,50,0.52,0,0,0,0,1,81,0,0,0,0,0,0.15,0.12,0.1,0.11,0.05,0.09,0.07,0.04,0.16,0.73,0,0.59,0.42,0.06,0.19,0.09,0.09,0,0.04,0.05,0.01,0,0,0,0,0.19,0.04,0
3,China,Wuhan,15,Positive only,45,0.27,0,0,0,0,1,15,0,0,0,0,0,0.13,0.2,0.2,0.07,0.07,0,0.07,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,China,Wuhan,21,Positive only,49,0.52,0,0,0,0,1,21,0,0,0,0,0,0.05,0.1,0.05,0.14,0.05,0.1,0.05,0,0.15,0.86,0,0.71,0.43,0.1,0.14,0.05,0.09,0,0.05,0.1,0.05,0,0,0,0,0,0,0
3,China,Wuhan,30,Positive only,52,0.67,0,0,0,0,1,30,0,0,0,0,0,0.23,0.1,0.1,0.1,0.07,0.1,0.1,0.1,0.2,0.9,0,0.7,0.43,0.07,0.2,0.13,0.05,0,0.03,0.07,0,0,0,0,0,0,0.07,0
3,China,Wuhan,15,Positive only,50,0.47,0,0,0,0,1,15,0,0,0,0,0,0.13,0.13,0.07,0.13,0,0.13,0.07,0,0.2,0.93,0,0.8,0.8,0.07,0.4,0.13,0.13,0,0.07,0,0,0,0,0,0,0,0.07,0
4,China,Zhejiang,149,Positive only,45,0.54,0,0,0,0,1,149,0,0,0,0,0,0,0,0,0,0.01,0,0.19,0,0,0.77,0,0.58,0.01,0.09,0.32,0.03,0,0,0.07,0.01,0,0.14,0.14,0,0,0,0,0
6,China,Beijing,77,Positive only,52,0.44,0,0,0,0,1,77,0,0,0,0,0,0.21,0.08,0.12,0.08,0.05,0,0.03,0.07,0,0.86,0,0.64,0.21,0.13,0,0.27,0.27,0,0.01,0.08,0.09,0.07,0,0,0,0,0.06,0
6,China,Beijing,57,Positive only,45,0.4,0,0,0,0,1,57,0,0,0,0,0,0.14,0.07,0.05,0.05,0.05,0,0.02,0.04,0,0.83,0,0.58,0.14,0.18,0,0.33,0.33,0,0.02,0.05,0.07,0.09,0,0,0,0,0,0
6,China,Beijing,20,Positive only,69,0.55,0,0,0,0,1,20,0,0,0,0,0,0.4,0.1,0.3,0.15,0.05,0,0.05,0.15,0,0.95,0,0.8,0.4,0,0,0.1,0.1,0,0,0.15,0.15,0,0,0,0,0,0.25,1
7,China,Wuhan,36,Positive only,68,0.83,0,0,0,0,1,36,0,0,0,0,0,0.39,0.28,0.33,0.19,0.06,0,5.6,0,0.08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,1
7,China,Wuhan,22,Positive only,69,0.86,0,0,0,0,1,22,0,0,0,0,0,0.36,0.27,0.27,0.18,0.09,0,0,0,0.14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,1
7,China,Wuhan,14,Positive only,73,0.79,0,0,0,0,1,14,0,0,0,0,0,0.43,0.29,0.43,0.21,0,0,0.14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,1
8,Italy,Nationwide,3200,Positive only,80,0.71,1,3200,0,0,0,0,0,0,0,0,0,0.74,0.34,0.3,0.14,0.2,0.04,0,0.2,0.04,0.76,0,0.4,0.73,0,0,0,0,0,0.08,0,0,0,0,0,0,0,1,1
9,China,Zhejiang,91,Positive only,48,0.41,0,0,0,0,1,91,0,0,0,0,0,0.16,0.09,0,0,0,0,0,0,0,0.71,0,0.6,0.03,0.08,0.33,0.05,0.44,0,0.23,0.07,0.25,0,0,0,0,0,0,0
10,China,Seven hospitals,62,Positive only,41,0.57,0,0,0,0,1,62,0,0,0,0,0,0.08,0.02,0,0.02,0,0.11,0.02,0.02,0,0.77,0.03,0.81,0.03,0.34,0.57,0.52,0.52,0,0.08,0,0,0,0,0,0,0,0,0
10,China,Seven hospitals,33,Positive only,45,0.58,0,0,0,0,1,33,0,0,0,0,0,0.12,0.03,0,0.03,0,0.12,0.03,0,0,0.73,0.03,0.82,0.06,0.45,0.58,0.58,0.58,0,0.09,0,0,0,0,0,0,0,0,0
10,China,Seven hospitals,29,Positive only,39,0.55,0,0,0,0,1,29,0,0,0,0,0,0.03,0,0,0,0,0.1,0,0.03,0,0.83,0.03,0.79,0,0.21,0.55,0.45,0.45,0,0,0,0,0,0,0,0,0,0,0
12,China,Jiangsu,620,Positive only,44,0.53,0,0,0,0,1,620,0,0,0,0,0.04,0.15,0.06,0.02,0,0.01,0.01,0,0.01,0.01,0.66,0,0.55,0.03,0,0.27,0,0,0,0.09,0,0.02,0,0,0,0,0.16,0,0
12,China,Jiangsu,97,Positive only,36,0.45,0,0,0,0,1,97,0,0,0,0,0.06,0.11,0.09,0.03,0,0,0,0,0,0.03,0.24,0,0.3,0.01,0,0.12,0,0,0,0.04,0,0.01,0,0,0,0,1,0,0
12,China,Jiangsu,470,Positive only,44,0.53,0,0,0,0,1,470,0,0,0,0,0.04,0.14,0.05,0.01,0,0.01,0,0,0.01,0.06,0.73,0,0.59,0.03,0,0.25,0,0,0,0.09,0,0.02,0,0,0,0,0,0,0
12,China,Jiangsu,53,Positive only,60,0.66,0,0,0,0,1,53,0,0,0,0,0,0.34,0.15,0.08,0,0.02,0.02,0,0.02,0.05,0.85,0,0.7,0.11,0,0.42,0,0,0,0.11,0,0,0,0,0,0,0,0,0
13,China,Nationwide,1099,Positive only,47,0.58,0,0,0,0,1,1099,0,0,0,0,0.13,0.15,0.07,0.03,0.01,0.01,0,0.01,0.01,0,0.89,0,0.68,0.19,0.14,0.34,0.15,0.38,0.05,0.04,0.05,0,0.14,0.12,0,0,0,0.01,0
13,China,Nationwide,926,Positive only,45,0.58,0,0,0,0,1,926,0,0,0,0,0.12,0.13,0.06,0.02,0.01,0.01,0,0.01,0.01,0,0.88,0,0.67,0.15,0.13,0.33,0.15,0.38,0.05,0.04,0.05,0,0.14,0.11,0,0,0,0,0
13,China,Nationwide,173,Positive only,51,0.58,0,0,0,0,1,173,0,0,0,0,0.17,0.24,0.16,0.06,0.04,0.02,0,0.02,0.02,0,0.92,0,0.71,0.38,0.15,0.35,0.17,0.4,0.04,0.06,0.07,0,0.13,0.15,0,0,0,0.08,0
13,China,Nationwide,67,Positive and Negative/Unconfirmed,62,0.67,0,0,0,0,1,67,0,0,0,0,0.26,0.36,0.27,0.09,0.1,0.02,0,0.06,0.03,0,0.88,0,0.69,0.54,0.12,0.3,0.09,0.33,0.03,0.06,0.05,0,0.09,0.12,0,0,0,0.22,1
13,China,Nationwide,1032,Positive and Negative/Unconfirmed,46,0.58,0,0,0,0,1,1032,0,0,0,0,0.12,0.14,0.06,0.02,0.01,0.01,0,0.01,0.01,0,0.89,0,0.68,0.16,0.14,0.34,0.15,0.39,0.05,0.04,0.05,0,0.14,0.11,0,0,0,0,0
16,China,Wuhan,41,Positive only,49,0.73,0,0,0,0,1,41,0,0,0,0,0.07,0.15,0.2,0.15,0.02,0.02,0.02,0,0,0.02,0.98,0.29,0.76,0.55,0,0.28,0.44,0.44,0,0.03,0,0,0,0,0,0,0,0.15,1
16,China,Wuhan,13,Positive only,50,0.85,0,0,0,0,1,13,0,0,0,0,0,0.15,0.08,0.23,0.08,0,0,0,0,0,1,0.62,0.85,0.92,0,0.38,0.54,0.54,0,0,0,0,0,0,0,0,0,0.38,1
16,China,Wuhan,28,Positive only,49,0.68,0,0,0,0,1,28,0,0,0,0,0.11,0.14,0.25,0.11,0,0.04,0.04,0,0,0.04,0.96,0.14,0.71,0.37,0,0.23,0.39,0.39,0,0.04,0,0,0,0,0,0,0,0.04,0
17,China,Wuhan,99,Positive only,56,0.68,0,0,0,0,1,99,0,0,0,0,0,0,0.12,0,0.01,0.01,0,0,0,0.17,0.83,0,0.82,0.31,0.08,0,0.11,0,0,0.02,0.01,0,0.05,0,0,0,0,0.11,0
19,China,Wuhan,138,Positive only,56,0.54,0,0,0,0,1,138,0,0,0,0,0,0.31,0.1,0.15,0.03,0.07,0.03,0.05,0.03,0.01,0.99,0,0.59,0.31,0.07,0.27,0.35,0.7,0,0.1,0.1,0.4,0,0,0,0,0,0.04,0
19,China,Wuhan,36,Positive only,66,0.61,0,0,0,0,1,36,0,0,0,0,0,0.58,0.22,0.25,0.08,0.11,0,0.17,0.06,0,1,0,0.58,0.64,0.08,0.22,0.33,0.81,0,0.17,0.11,0.67,0,0,0,0,0,0.17,1
19,China,Wuhan,102,Positive only,51,0.52,0,0,0,0,1,102,0,0,0,0,0,0.22,0.06,0.11,0.01,0.06,0.04,0.01,0.02,0.02,0.98,0,0.6,0.2,0.06,0.28,0.35,0.66,0,0.08,0.1,0.3,0,0,0,0,0,0,0
22,China,Northeast Chongqing,135,Positive only,46,0.53,0,0,0,0,1,135,0,0,0,0,0.07,0.1,0.09,0.05,0,0.03,0.02,0,0,0,0.89,0,0.77,0.13,0.33,0.09,0.33,0.33,0,0.13,0.03,0,0,0,0,0,0,0.01,0
22,China,Northeast Chongqing,95,Positive only,42,0.55,0,0,0,0,1,95,0,0,0,0,0.08,0.09,0.03,0.01,0,0.01,0.01,0,0,0,0.9,0,0.71,0.1,0.24,0.05,0.26,0.26,0,0.05,0.04,0,0,0,0,0,0,0,0
22,China,Northeast Chongqing,40,Positive only,60,0.53,0,0,0,0,1,40,0,0,0,0,0.03,0.1,0.23,0.15,0.1,0.08,0.03,0,0,0,0.85,0,0.88,0.19,0.28,0.18,0.48,0.48,0,0.33,0,0,0,0,0,0,0,0.03,0
23,China,Wuhan,17,Positive only,45,0.53,0,0,0,0,1,17,0,0,0,0,0.18,0.06,0,0,0,0,0,0,0,0.18,0.71,0,0.77,0,0,0.18,0.24,0.47,0,0.12,0,0,0,0,0,0,0,0,0
23,China,Wuhan,5,Positive only,35,0.8,0,0,0,0,1,5,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.4,0.8,0,0.6,0,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0
23,China,Wuhan,12,Positive only,49,0.42,0,0,0,0,1,12,0,0,0,0,0.08,0.08,0,0,0,0,0,0,0,0.08,0.67,0,0.83,0,0,0.25,0.17,0.42,0,0.17,0,0,0,0,0,0,0,0,0
24,China,Wuhan,48,Positive and Negative/Unconfirmed,71,0.69,0,0,0,0,1,48,0,0,0,0,0,0.67,0.21,0.27,0,0,0,0,0.1,0.15,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,1
24,China,Wuhan,17,Positive only,79,0.71,0,0,0,0,1,17,0,0,0,0,0,0.71,0.29,0.24,0,0,0,0,0.29,0.18,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
24,China,Wuhan,31,Positive and Negative/Unconfirmed,66,0.68,0,0,0,0,1,31,0,0,0,0,0,0.65,0.16,0.29,0,0,0,0,0,0.13,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,USA,Washington,21,Positive only,70,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0.33,0,0,0,0.48,0.43,0.52,0,0.48,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,1
26,Singapore,Singapore,18,Positive only,50,0.5,0,0,0,0,1,18,0,0,0,0,0,0.28,0.11,0,0,0,0,0,0,0,0.72,0,0.83,0.11,0,0,0,0,0,0.17,0.22,0,0.61,0,0,0,0,0,0
26,Singapore,Singapore,12,Positive only,41,0.58,0,0,0,0,1,12,0,0,0,0,0,0.08,0.08,0,0,0,0,0,0,0,0.58,0,0.83,0.08,0,0,0,0,0,0.25,0,0,0.67,0,0,0,0,0,0
26,Singapore,Singapore,6,Positive only,59,0.33,0,0,0,0,1,6,0,0,0,0,0,0.67,0.17,0,0,0,0,0,0,0,1,0,0.83,0.17,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
28,China,Wuhan,201,Positive only,51,0.64,0,0,0,0,1,201,0,0,0,0,0,0.19,0.11,0.04,0.03,0.01,0.04,0,0.01,0.07,0.94,0,0.81,0,0,0,0.32,0.32,0,0,0,0,0,0,0,0,0,0.22,1
28,China,Wuhan,84,Positive only,59,0.71,0,0,0,0,1,84,0,0,0,0,0,0.27,0.19,0.06,0,0,0,0,0,0,0.93,0,0.81,0,0,0,0.32,0.32,0,0,0,0,0,0,0,0,0,0.52,1
28,China,Wuhan,117,Positive only,47,0.58,0,0,0,0,1,117,0,0,0,0,0,0.14,0.05,0.03,0,0,0,0,0,0,0.94,0,0.82,0,0,0,0.33,0.33,0,0,0,0,0,0,0,0,0,0,0
32,China,Beijing,262,Positive only,16,0.49,0,0,0,0,1,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.46,0.07,0.07,0,0,0.26,0,0,0,0,0,0,0,0,0,0.01,0
32,China,Beijing,46,Positive only,20,0.57,0,0,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.54,0.33,0.07,0,0,0.33,0,0,0,0,0,0,0,0,0,0.07,0
32,China,Beijing,216,Positive only,15,0.47,0,0,0,0,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.44,0.01,0.07,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0
38,China,Shanghai,249,Positive only,51,0.51,0,0,0,0,1,249,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0.16,0.87,0,0.37,0.08,0.11,0,0,0.16,0,0.03,0,0.03,0.06,0,0,0,0.03,0.01,0
40,China,Changzhou,15,Positive only,38,0.67,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0.33,0.13,0,0.2,0.27,0.07,0,0.13,0,0,0,0,0,0,0,0,0
40,China,Changzhou,17,Positive only,36,0.41,0,0,0,0,1,17,0,0,0,0,0,0,0.06,0.12,0,0,0,0,0.06,0,0.59,0,0.53,0.06,0,0.35,0.12,0,0,0.06,0,0,0,0,0,0,0,0,0
40,China,Changzhou,19,Positive only,51,0.42,0,0,0,0,1,19,0,0,0,0,0,0,0.16,0.16,0.05,0,0.05,0,0,0.05,0.68,0,0.47,0.05,0,0.21,0.11,0.11,0,0.11,0,0,0,0,0,0,0,0,0
42,China,Shandong,537,Positive only,0,0.56,0,0,0,0,1,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0.36,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0
44,China,Hubei,463,Positive only,17,0.53,0,0,0,0,1,463,0,0,0,0,0,0.23,0.09,0.06,0,0,0,0,0,0,0.9,0,0.77,0.42,0.13,0.32,0,0.28,0,0,0,0,0,0,0,0,0,0,0
44,China,Hubei,282,Positive only,50,0.51,0,0,0,0,1,282,0,0,0,0,0,0.19,0.07,0.04,0,0,0,0,0,0,0.87,0,0.75,0.4,0.05,0.29,0,0.29,0,0,0,0,0,0,0,0,0,0,0
44,China,Hubei,181,Positive only,55,0.55,0,0,0,0,1,181,0,0,0,0,0,0.29,0.11,0.09,0,0,0,0,0,0,0.94,0,0.8,0.45,0.06,0.35,0,0.27,0,0,0,0,0,0,0,0,0,0,0
47,China,Chongqing,223,Positive only,47,0.47,0,0,0,0,1,223,0,0,0,0,0.16,0.11,0.08,0,0,0,0,0,0,0.04,0.53,0.03,0.51,0.07,0.05,0.12,0.05,0.05,0,0.05,0,0,0,0,0,0,0,0,0
47,China,Chongqing,192,Positive only,45,0.45,0,0,0,0,1,192,0,0,0,0,0.16,0.11,0.05,0.01,0.01,0,0,0,0,0.04,0.48,0.01,0.5,0,0.05,0.1,0.05,0.05,0,0.06,0,0,0,0,0,0,0,0,0
47,China,Chongqing,31,Positive only,56,0.58,0,0,0,0,1,31,0,0,0,0,0.16,0.13,0.26,0,0,0,0,0,0,0.07,0.87,0.16,0.58,0.48,0.03,0.23,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0
54,China,Various,9,Positive only,1,0.22,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0.22,0,0,0.11,0,0,0,0,0,0,0.11,0,0,0,0,0,0
59,China,Wuhan,82,Positive only,73,0.66,0,0,0,0,1,82,0,0,0,0,0,0.56,0.18,0.21,0.15,0.07,0.02,0.12,0.07,0.12,0.78,0,0.65,0.63,0,0,0,0.46,0,0.12,0.02,0,0.05,0,0,0,0,1,1
60,China,Jiangxi,11,Positive only,0,0.36,0,0,0,0,1,11,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0.36,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,China,Jiangxi,2,Positive only,31,0.5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,China,Jiangxi,9,Positive only,43,0.33,0,0,0,0,1,9,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0.44,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,China,Two provinces,62,Positive only,15,0.52,0,0,0,0,1,62,0,0,0,0,0.25,0.14,0.05,0.02,0.03,0.01,0.03,0.01,0,0,0.79,0,0.6,0.05,0.08,0.16,0.24,0.24,0.05,0.11,0,0,0.08,0,0,0,0.05,0,0
63,China,Wuhan,403,Positive only,56,0.48,0,0,0,0,1,403,0,0,0,0,0.07,0.28,0.14,0.09,0.07,0,0,0.1,0.02,0.1,0.79,0,0.1,0.02,0,0,0.01,0.04,0,0.01,0.01,0,0.02,0,0,0,0,0.25,1
63,China,Wuhan,100,Positive only,71,0.57,0,0,0,0,1,100,0,0,0,0,0.09,0.6,0.25,0.16,0.17,0,0,0.22,0.03,0.22,0.87,0,0.04,0.02,0,0,0,0.02,0,0.01,0,0,0,0,0,0,0,1,1
63,China,Wuhan,303,Positive only,49,0.45,0,0,0,0,1,303,0,0,0,0,0.07,0.18,0.11,0.07,0.04,0,0,0.06,0.01,0.06,0.77,0,0.12,0.02,0,0,0.01,0.04,0,0.01,0.01,0,0.03,0,0,0,0,0,0
64,China,Qingdao/Wuhan,74,Positive only,6,0.59,0,0,0,0,1,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0.32,0.03,0.03,0.03,0,0.07,0,0.04,0,0.04,0,0,0,0,0.41,0,0
67,China,Wuhan,82,Positive only,3,0.62,0,0,0,0,1,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.62,0,0.62,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
69,China,Shenzhen,6,Positive only,46,0.5,0,0,0,0,1,6,0,0,0,0,0,0.33,0.17,0,0,0.17,0,0,0,0.17,0.83,0,0.83,0,0,0,0.5,0.5,0.17,0.33,0,0,0.17,0,0,0,0,0,0
69,China,Shenzhen,1,Positive only,65,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
69,China,Shenzhen,1,Positive only,66,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
69,China,Shenzhen,1,Positive only,37,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
69,China,Shenzhen,1,Positive only,36,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
69,China,Shenzhen,1,Positive only,10,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,China,Shenzhen,1,Positive only,63,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
70,China,Wuhan,101,Positive only,70,0.59,0,0,0,0,1,101,0,0,0,0,0,0.58,0.22,0.24,0.14,0.07,0.18,0.13,0.11,0,0.81,0,0.55,0.58,0.05,0,0.06,0.36,0,0.1,0.03,0,0,0,0,0,0,1,1
70,China,Wuhan,48,Positive only,70,0.58,0,0,0,0,1,48,0,0,0,0,0,0.54,0.19,0.19,0.08,0.06,0.19,0.08,0.04,0,0.79,0,0.48,0.58,0.02,0,0.02,0.4,0,0.08,0.02,0,0,0,0,0,0,1,1
70,China,Wuhan,53,Positive only,70,0.6,0,0,0,0,1,53,0,0,0,0,0,0.62,0.25,0.28,0.19,0.08,0.17,0.17,0.17,0,0.83,0,0.62,0.58,0.09,0,0.09,0.32,0,0.11,0.08,0,0,0,0,0,0,1,1
71,China,Wuhan,55,Positive only,71,0.67,0,0,0,0,1,55,0,0,0,0,0,0.6,0.26,0,0.22,0.07,0.06,0.22,0.09,0,0.96,0,0.62,0.96,0.04,0,0.93,0.93,0,0.04,0.04,0,0,0,0,0,0,1,1
73,China,Wuhan,36,Positive only,69,0.69,0,0,0,0,1,36,0,0,0,0,0.11,0.58,0.19,0.14,0.11,0.03,0,0.22,0.08,0,0.94,0,0.78,0.58,0,0.22,0.03,0.47,0,0.08,0,0,0,0,0,0,0,1,1
74,Chile,Chile,922,Positive only,37,0.49,0,0,0,0,0,0,1,922,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0.52,0.57,0.52,0,0.04,0,0,0,0.47,0,0.45,0,0,0,0,0,0
75,USA,Nationwide,12,Positive only,18,0.67,0,0,0,0,0,0,0,0,0,0,0.08,0.17,0.08,0.17,0.08,0,0.08,0,0,0.33,0.58,0,0.67,0.08,0.25,0,0,0.42,0,0.08,0,0,0.08,0.08,0,0,0,0,0
75,USA,Nationwide,7,Positive only,18,0.71,0,0,0,0,0,0,0,0,0,0,0.14,0.14,0.14,0.14,0.14,0,0,0,0,0.29,0.85,0,0.86,0.14,0.14,0,0,0.29,0,0.14,0,0,0,0,0,0,0,0,0
77,China,Wuhan,109,Positive only,55,0.54,0,0,0,0,1,109,0,0,0,0,0,0.34,0.11,0,0.04,0,0,0.06,0.09,0,0.83,0,0.62,0,0,0,0,0.57,0,0.11,0,0,0,0,0,0,0,0.28,1
77,China,Wuhan,56,Positive only,48,0.55,0,0,0,0,1,56,0,0,0,0,0,0.29,0.02,0,0.04,0,0,0,0.04,0,0.86,0,0.64,0,0,0,0,0.46,0,0.11,0,0,0,0,0,0,0,0.09,0
77,China,Wuhan,53,Positive only,61,0.53,0,0,0,0,1,53,0,0,0,0,0,0.4,0.21,0,0.04,0,0,0.11,0.15,0,0.79,0,0.59,0,0,0,0,0.68,0,0.11,0,0,0,0,0,0,0,0.49,1
78,China,Nanjing,24,Positive only,36,0.33,0,0,0,0,1,24,0,0,0,0,0.04,0.08,0.08,0.04,0,0,0,0.04,0.04,0,0.21,0,0.08,0,0,0,0,0.08,0.04,0,0,0,0,0,0,0,0,0,0
78,China,Nanjing,5,Positive only,47,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,1,0,0.4,0,0,0,0,0.4,0.2,0,0,0,0,0,0,0,0,0,0
